timestamp,symbol,name,price,change,change_percent,volume,latest_trading_day,market_sentiment
2026-01-06T14:20:46.818089+00:00,SPY,S&P 500,687.72,4.55,0.6660,71927191,2026-01-05,0.6022542857142857
2026-01-06T14:20:46.818089+00:00,DIA,Dow Jones,489.77,6.14,1.2696,7574434,2026-01-05,0.6022542857142857
2026-01-06T14:20:46.818089+00:00,QQQ,NASDAQ,617.99,4.87,0.7943,46828359,2026-01-05,0.6022542857142857
2026-01-06T14:20:46.818089+00:00,EWU,FTSE 100,44.81,0.35,0.7872,1322659,2026-01-05,0.6022542857142857
2026-01-06T14:20:46.818089+00:00,EWJ,Nikkei 225,83.13,1.8,2.2132,6465725,2026-01-05,0.6022542857142857
2026-01-06T14:20:46.818089+00:00,EWG,DAX,43.05,0.49,1.1513,3370135,2026-01-05,0.6022542857142857
2026-01-06T14:20:46.818089+00:00,FXI,China Markets,39.93,0.11,0.2762,32499779,2026-01-05,0.6022542857142857
